,bert,bert_random-init,bert_frozen
Backchannel,0.7298548934856436,0.7184437184437185,0.5787120937537755
Stall,0.6569133677567413,0.6771614192903548,0.035173424523693216
Fragment,0.8526144676239501,0.8329117294634535,0.6413028218447284
Inform,0.7369537829056428,0.6804417122040072,0.6202160008388382
Suggest,0.5353972228545413,0.18386876281613126,0.0
Assess,0.5577280174767886,0.4834800357188417,0.2908756889161053
Elicit-Inform,0.5745856353591161,0.5347490347490348,0.0
Elicit-Offer-Or-Suggestion,0.38208955223880603,0.0,0.0
Elicit-Assessment,0.4830699774266366,0.23097826086956522,0.0
Elicit-Comment-Understanding,0.2702702702702703,0.0,0.0
Offer,0.5592233009708738,0.0,0.0
Comment-About-Understanding,0.20349761526232116,0.015180265654648957,0.0
Be-Positive,0.6142076502732241,0.5238095238095238,0.0
Be-Negative,0.0,0.0,0.0
Other,0.3484848484848485,0.13693693693693695,0.0
None,0.0,0.0,0.0
