,bert,bert_random-init,bert_frozen
Statement-non-opinion,0.8295086056373161,0.8028482421005786,0.6880825310896045
Acknowledge (Backchannel),0.8632473517266144,0.8627162311372837,0.712667161961367
Statement-opinion,0.6018647093830589,0.5758584609531057,0.1388434666270254
Segment (multi-utterance),0.8064611736810908,0.7496851825940956,0.41665089877010414
Abandoned or Turn-Exit or Uninterpretable,0.8061651867984587,0.7788669214155176,0.6094192634560907
Agree/Accept,0.5199017199017198,0.5363329583802025,0.03161764705882353
Appreciation,0.7321428571428572,0.6980576809888169,0.004301075268817203
Yes-No-Question,0.7913043478260869,0.7025641025641025,0.13786591123701605
Non-verbal,0.986280487804878,0.979467680608365,0.0
Yes answers,0.7397769516728625,0.6618444846292947,0.014134275618374558
Conventional-closing,0.7775665399239543,0.7456647398843931,0.0
Wh-Question,0.7855297157622739,0.6439135381114903,0.0
No answers,0.8438661710037175,0.8141263940520446,0.0
Response Acknowledgement,0.5228426395939086,0.5187032418952618,0.0
Hedge,0.7695749440715884,0.6614785992217898,0.0
Declarative Yes-No-Question,0.14723926380368096,0.0,0.0
Backchannel in question form,0.722753346080306,0.6543778801843319,0.0
Quotation,0.19397993311036787,0.009523809523809523,0.0
Summarize/reformulate,0.029126213592233007,0.0,0.0
Other,0.6523297491039426,0.6066666666666667,0.5776566757493189
Affirmative non-yes answers,0.35156250000000006,0.3211678832116788,0.0
Action-directive,0.4429530201342282,0.06030150753768844,0.0
Collaborative Completion,0.22018348623853212,0.16535433070866143,0.0
Repeat-phrase,0.09248554913294799,0.1981981981981982,0.0
Open-Question,0.6953405017921147,0.0784313725490196,0.0
Rhetorical-Questions,0.3148148148148148,0.0,0.0
"Hold before
 answer/agreement",0.41071428571428564,0.2953020134228188,0.0
Reject,0.07142857142857142,0.0,0.0
Negative non-no answers,0.2631578947368421,0.05333333333333334,0.0
Signal-non-understanding,0.6086956521739131,0.1818181818181818,0.0
Other answers,0.41379310344827586,0.30952380952380953,0.0
Conventional-opening,0.8412698412698412,0.0,0.0
Or-Clause,0.6842105263157895,0.07272727272727272,0.0
"Dispreferred
 answers",0.0,0.0,0.0
3rd-party-talk,0.0,0.0,0.0
"Offers, Options
 Commits",0.0,0.0,0.0
Maybe/Accept-part,0.0,0.0,0.0
Downplayer,0.0,0.0,0.0
Self-talk,0.0,0.0,0.0
Tag-Question,0.11764705882352941,0.0,0.0
Declarative Wh-Question,0.0,0.0,0.0
Apology,0.6428571428571429,0.0,0.0
Thanking,0.48275862068965514,0.1,0.0
