,sd,b,sv,+,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,fo_o_fw_"_by_bc,na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,bd,t1,^g,qw^d,fa,ft
sd,0.9969967847874504,0.0003747544672934335,0.07495089345868669,0.014915227798278653,0.01154243759263775,0.002773183057971408,0.0011242634018803004,0.0010493125084216138,0.0002248526803760601,7.495089345868669e-05,0.0005246562542108069,0.0005996071476694935,7.495089345868669e-05,0.0,0.002398428590677974,0.0015739687626324206,7.495089345868669e-05,0.0013491160822563604,0.0005246562542108069,7.495089345868669e-05,0.0006745580411281802,0.0004497053607521202,0.000749508934586867,0.00029980357383474677,0.0,0.0011242634018803004,0.0003747544672934335,0.0,0.0,0.0,0.0002248526803760601,0.00029980357383474677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.001801051160207064,0.9991677667241036,0.0006927119846950247,0.0012468815724510443,0.007758374228584276,0.03782207436434835,0.002216678351024079,0.00013854239693900493,0.0005541695877560197,0.009697967785730345,0.0008312543816340296,0.0,0.0004156271908170148,0.005126068686743182,0.0,0.0,0.0063729502591942265,0.0,0.00013854239693900493,0.0006927119846950247,0.00027708479387800986,0.0,0.00027708479387800986,0.0,0.0,0.0,0.00013854239693900493,0.00027708479387800986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sv,0.5514220585041224,0.0008238377368089478,0.8331745644927826,0.03212967173554897,0.020321330841287382,0.012357566052134217,0.008787602525962111,0.005217638999790003,0.0,0.0,0.0013730628946815797,0.0,0.00027461257893631597,0.0,0.0,0.0046684138419173715,0.0,0.0038445761051084234,0.0013730628946815797,0.0,0.0013730628946815797,0.0019222880525542117,0.0016476754736178957,0.0,0.0,0.0013730628946815797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027461257893631597,0.00027461257893631597
+,0.17644687496592865,0.009381633433771257,0.06458893787096365,0.9818240220496766,0.0216499233087029,0.0046908167168856285,0.0036083205514504833,0.009020801378626209,0.0007216641102900967,0.0,0.0014433282205801934,0.0025258243860153385,0.0,0.0,0.001082496165435145,0.0,0.00036083205514504836,0.0007216641102900967,0.0018041602757252416,0.0,0.0,0.0032474884963054353,0.003969152606595532,0.0,0.0,0.0014433282205801934,0.00036083205514504836,0.0,0.0,0.0,0.00036083205514504836,0.0,0.0007216641102900967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
%,0.11320505220217424,0.11156439927170794,0.022148814561294958,0.013125223443730346,0.9868527376754754,0.013125223443730346,0.0008203264652331466,0.0016406529304662932,0.0020508161630828667,0.002871142628316013,0.0008203264652331466,0.0016406529304662932,0.0004101632326165733,0.0008203264652331466,0.00123048969784972,0.0,0.0,0.0,0.0004101632326165733,0.00123048969784972,0.0004101632326165733,0.0,0.0,0.0,0.0004101632326165733,0.0008203264652331466,0.0004101632326165733,0.0004101632326165733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aa,0.1128491454625166,0.6791466754198727,0.040352118680536245,0.0034196710746217155,0.006839342149243431,0.723602399389955,0.010259013223865146,0.0,0.0,0.01983409223280595,0.006155407934319088,0.0,0.010942947438789489,0.001367868429848686,0.0,0.0,0.000683934214924343,0.000683934214924343,0.000683934214924343,0.002735736859697372,0.007523276364167774,0.001367868429848686,0.0034196710746217155,0.000683934214924343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,0.11042699146073678,0.03786068278653833,0.11673710525849318,0.004732585348317291,0.007887642247195485,0.17668318633717886,0.9701799964050446,0.001577528449439097,0.0,0.0,0.004732585348317291,0.0,0.001577528449439097,0.003155056898878194,0.0,0.0,0.009465170696634582,0.004732585348317291,0.003155056898878194,0.0,0.004732585348317291,0.0,0.003155056898878194,0.0,0.001577528449439097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qy,0.041088180835727205,0.00410881808357272,0.017804878362148453,0.015065666306433308,0.02739212055715147,0.0013696060278575734,0.0,0.9970731882803134,0.0,0.0013696060278575734,0.0,0.01643527233429088,0.0,0.0,0.0,0.0068480301392878674,0.04930581700287264,0.00410881808357272,0.0,0.0,0.0,0.0013696060278575734,0.0013696060278575734,0.0,0.00410881808357272,0.002739212055715147,0.0,0.0,0.0,0.0,0.0,0.0,0.0068480301392878674,0.0013696060278575734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,0.0,0.0015455839775654178,0.0,0.0030911679551308357,0.0015455839775654178,0.0,0.0,0.0,0.9999928334848254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ny,0.0,0.31855499816495886,0.0,0.0,0.007131828317125945,0.05705462653700756,0.0,0.0,0.0,0.946155890072042,0.0,0.0,0.002377276105708648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
