,sd,b,sv,+,%,aa,ba,qy,x,ny,fc,qw,nn,bk,h,qy^d,bh,^q,bf,fo_o_fw_"_by_bc,na,ad,^2,b^m,qo,qh,^h,ar,ng,br,no,fp,qrr,arp_nd,t3,oo_co_cc,aap_am,bd,t1,^g,qw^d,fa,ft
sd,0.9932896134765707,0.0003970617258860612,0.10792137709583144,0.030891402273935564,0.02628548625365725,0.0071471110659491015,0.003335318497442914,0.0015882469035442448,0.00023823703553163672,7.941234517721224e-05,0.0007147111065949101,0.0014294222131898203,0.0,0.0,0.0034147308426201264,0.0008735357969493347,0.0,0.0,0.0,0.0,0.0011117728324809713,0.00023823703553163672,0.00023823703553163672,0.0007941234517721224,0.0,0.0003970617258860612,0.0011911851776581837,0.0,0.0001588246903544245,0.0,0.0,0.0,7.941234517721224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.001097134095294791,0.9996263025754665,0.0005485670476473955,0.002331409952501431,0.012891325619713795,0.018102712572364052,0.0013714176191184889,0.0005485670476473955,0.0005485670476473955,0.012617042095890096,0.0015085593810303377,0.0,0.002194268190589582,0.00863993100044648,0.0,0.0,0.00041142528573554665,0.0,0.0,0.0016457011429421866,0.00027428352382369775,0.0,0.00013714176191184887,0.00013714176191184887,0.0,0.0,0.00013714176191184887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sv,0.3464330478512214,0.00026364767720793105,0.9356856064109473,0.043238219062100694,0.037437970163526214,0.023200995594297932,0.025310177011961383,0.003954715158118966,0.0,0.0,0.0007909430316237932,0.0007909430316237932,0.0,0.0,0.0,0.0026364767720793107,0.0,0.0,0.0,0.0,0.0007909430316237932,0.0005272953544158621,0.0,0.00026364767720793105,0.0,0.0010545907088317242,0.0005272953544158621,0.0,0.0,0.0,0.0,0.0,0.0005272953544158621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
+,0.08601699959468474,0.008001581357645093,0.05067668193175225,0.9945298829106379,0.02767213552852261,0.00466758912529297,0.003333992232352122,0.00766818213440988,0.0006667984464704243,0.0,0.001666996116176061,0.0040007906788225465,0.0,0.0,0.0013335968929408487,0.0,0.0003333992232352122,0.0,0.0,0.0,0.0,0.0003333992232352122,0.0006667984464704243,0.0,0.0,0.0,0.0003333992232352122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
%,0.0564364505095341,0.09598035800941174,0.01382117155335529,0.010365878665016467,0.9935886661134303,0.006910585776677645,0.000383921432037647,0.000767842864075294,0.001919607160188235,0.003071371456301176,0.001151764296112941,0.0042231357524141165,0.000383921432037647,0.000767842864075294,0.001151764296112941,0.0,0.0,0.0,0.0,0.000767842864075294,0.000383921432037647,0.0,0.000383921432037647,0.000383921432037647,0.001151764296112941,0.0,0.000767842864075294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aa,0.041971627442656,0.7494933471902857,0.039972978516815236,0.007994595703363047,0.00732837939474946,0.6582217129102242,0.01465675878949892,0.0006662163086135873,0.0,0.02997973388761143,0.003997297851681523,0.0,0.01732162402395327,0.0019986489258407617,0.0006662163086135873,0.0,0.0,0.0,0.0,0.008660812011976635,0.0033310815430679366,0.0019986489258407617,0.0,0.0006662163086135873,0.0,0.0,0.0013324326172271747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ba,0.03512125339785248,0.05707203677151028,0.05707203677151028,0.00878031334946312,0.01317047002419468,0.18292319478048166,0.9790049384651378,0.0014633855582438533,0.0,0.0,0.0029267711164877065,0.0,0.0014633855582438533,0.005853542232975413,0.0014633855582438533,0.0,0.0014633855582438533,0.0,0.0,0.0,0.005853542232975413,0.0014633855582438533,0.0014633855582438533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qy,0.04066407189972071,0.0013554690633240237,0.01084375250659219,0.02982031939312852,0.033886726583100595,0.0027109381266480475,0.0013554690633240237,0.9976252306064815,0.0,0.0013554690633240237,0.0,0.01897656688653633,0.0,0.0,0.0,0.01084375250659219,0.01897656688653633,0.0,0.0,0.0,0.0013554690633240237,0.004066407189972071,0.0,0.0013554690633240237,0.004066407189972071,0.0,0.0013554690633240237,0.0,0.0,0.0,0.0,0.0,0.006777345316620119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,0.0,0.0,0.0,0.00462958001591211,0.0,0.0,0.0,0.0,0.9999892834370158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ny,0.0,0.36504806182153265,0.0,0.002385935044585181,0.007157805133755543,0.02863122053502217,0.0,0.0,0.0,0.9305146673882205,0.0,0.0,0.002385935044585181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
